"PANumber","NicheBreadth.trend","SE","df","asymp.LCL","asymp.UCL","ResponseVariable"
"1",0.0172776916686083,0.0116382631050573,Inf,-0.00553288485990531,0.0400882681971219,"Schoener's D"
"3",0.0189243357309211,0.0116382631050571,Inf,-0.0038862407975921,0.0417349122594343,"Schoener's D"
"5",0.018388094349991,0.0116382631050571,Inf,-0.0044224821785222,0.0411986708785042,"Schoener's D"
"1",4.72571021310731,10.9963305629293,Inf,-16.8267016523311,26.2781220785458,"Mean Suitablilty"
"3",-0.186195661824032,10.9963305629291,Inf,-21.7386075272621,21.366216203614,"Mean Suitablilty"
"5",-1.63661236250426,10.9963305629291,Inf,-23.1890242279423,19.9157995029338,"Mean Suitablilty"
"1",0.945177384180103,1.60272172251062,Inf,-2.19609946918071,4.08645423754092,"Suitable Area"
"3",0.903607339933422,1.6027217225106,Inf,-2.23766951342734,4.04488419329419,"Suitable Area"
"5",1.40338797602058,1.6027217225106,Inf,-1.73788887734018,4.54466482938135,"Suitable Area"
"1",-17.931791216406,28.5109382899501,Inf,-73.8122034301521,37.9486209973401,"Elevation Centroid"
"3",-23.5813493815255,28.5109382899496,Inf,-79.4617615952706,32.2990628322197,"Elevation Centroid"
"5",-25.9169920880723,28.5109382899496,Inf,-81.7974043018175,29.9634201256729,"Elevation Centroid"
